AU;TI;SO;TC;PY;VL;IS;BP;EP;DOI
"Zheng, Y; Byg, A; Thorsen, BJ; Strange, N";A Temporal Dimension of Household Vulnerability in Three Rural Communities in Lijiang, China;HUMAN ECOLOGY;11;2014;42;2;283;295;https://doi.org/10.1007/s10745-013-9633-5
"Flach, M; Sippel, S; Gans, F; Bastos, A; Brenning, A; Reichstein, M; Mahecha, MD";Contrasting biosphere responses to hydrometeorological extremes: revisiting the 2010 western Russian heatwave;BIOGEOSCIENCES;8;2018;15;20;6067;6085;https://doi.org/10.5194/bg-15-6067-2018
"Tebaldi, C; Hayhoe, K; Arblaster, JM; Meehl, GA";Going to the extremes;CLIMATIC CHANGE;708;2006;79;04. Mar;185;211;https://doi.org/10.1007/s10584-006-9051-4
"Stokes, S; Bailey, RM; Fedoroff, N; O'Marah, KE";Optical dating of aeolian dynamism on the West African Sahelian margin;GEOMORPHOLOGY;33;2004;59;04. Jan;281;291;https://doi.org/10.1016/j.geomorph.2003.07.021
"Yao, N; Li, Y; Lei, TJ; Peng, LL";Drought evolution, severity and trends in mainland China over 1961-2013;SCIENCE OF THE TOTAL ENVIRONMENT;20;2018;616;;73;89;https://doi.org/10.1016/j.scitotenv.2017.10.327
"Laguionie, P; Du Bois, PB; Boust, D; Fievet, B; Garreau, P; Connan, O; Charmasson, S; Arnaud, M; Duffa, C; Champion, D";Consequences of radioactive releases into the sea resulting from the accident at the Fukushima Dai-ichi nuclear power plant - Evolution of expert investigation according to the data available;RADIOPROTECTION;3;2012;47;3;423;447;https://doi.org/10.1051/radiopro/2012032
"Veblen, TT; Kitzberger, T; Donnegan, J";Climatic and human influences on fire regimes in ponderosa pine forests in the Colorado Front Range;ECOLOGICAL APPLICATIONS;268;2000;10;4;1178;1195;"https://doi.org/10.1890/1051-0761(2000)010[1178:CAHIOF]2.0.CO;2"
"Paz, S; Negev, M; Clermont, A; Green, MS";Health Aspects of Climate Change in Cities with Mediterranean Climate, and Local Adaptation Plans;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;11;2016;13;4;;;https://doi.org/10.3390/ijerph13040438
"Madsen, DB; Elston, RG";Variation in Late Quaternary central Asian climates and the nature of human response;LATE QUATERNARY CLIMATE CHANGE AND HUMAN ADAPTATION IN ARID CHINA;9;2007;9;;69;82;https://doi.org/10.1016/S1571-0866(07)09007-0
"Wang, ZH; Ryves, DB; Lei, S; Nian, XM; Lv, Y; Tang, L; Wang, L; Wang, JH; Chen, J";Middle Holocene marine flooding and human response in the south Yangtze coastal plain, East China;QUATERNARY SCIENCE REVIEWS;9;2018;187;;80;93;https://doi.org/10.1016/j.quascirev.2018.03.001
Liao, KH;A Theory on Urban Resilience to Floods-A Basis for Alternative Planning Practices;ECOLOGY AND SOCIETY;102;2012;17;4;;;https://doi.org/10.5751/ES-05231-170448
"Wade, P; Eslamian, S";Water Issues from a System Dynamics Perspective;HANDBOOK OF DROUGHT AND WATER SCARCITY: ENVIRONMENTAL IMPACTS AND ANALYSIS OF DROUGHT AND WATER SCARCITY;0;2016;;;461;488;https://doi.org/
"Hocking, WK; Carey-Smith, T; Tarasick, DW; Argall, PS; Strong, K; Rochon, Y; Zawadzki, I; Taylor, PA";Detection of stratospheric ozone intrusions by windprofiler radars;NATURE;50;2007;450;7167;281;284;https://doi.org/10.1038/nature06312
"Maier, G; Grundstein, A; Jang, W; Li, C; Naeher, LP; Shepherd, M";Assessing the Performance of a Vulnerability Index during Oppressive Heat across Georgia, United States;WEATHER CLIMATE AND SOCIETY;23;2014;6;2;253;263;https://doi.org/10.1175/WCAS-D-13-00037.1
Hughes, L;Phanerozoic Life and Mass Extinctions of Species;CLIMATE, FIRE AND HUMAN EVOLUTION: THE DEEP TIME DIMENSIONS OF THE ANTHROPOCENE;0;2016;10;;45;67;https://doi.org/10.1007/978-3-319-22512-8_2
"Crooks, JL; Cascio, WE; Percy, MS; Reyes, J; Neas, LM; Hilborn, ED";The Association between Dust Storms and Daily Non-Accidental Mortality in the United States, 1993-2005;ENVIRONMENTAL HEALTH PERSPECTIVES;36;2016;124;11;1735;1743;https://doi.org/10.1289/EHP216
"Liu, Z; Anderson, B; Yan, K; Dong, WH; Liao, H; Shi, PJ";Global and regional changes in exposure to extreme heat and the relative contributions of climate and population change;SCIENTIFIC REPORTS;13;2017;7;;;;https://doi.org/10.1038/srep43909
"Yang, L; Scheffran, J; Qin, HP; You, QL";Climate-related flood risks and urban responses in the Pearl River Delta, China;REGIONAL ENVIRONMENTAL CHANGE;31;2015;15;2;379;391;https://doi.org/10.1007/s10113-014-0651-7
"Walsh, K; Berger, JF; Roberts, CN; Vanniere, B; Ghilardi, M; Brown, AG; Woodbridge, J; Lespez, L; Estrany, J; Glais, A; Palmisano, A; Finne, M; Verstraeten, G";Holocene demographic fluctuations, climate and erosion in the Mediterranean: A meta data-analysis;HOLOCENE;3;2019;29;5;864;885;https://doi.org/10.1177/0959683619826637
"Guiller, A; CoutellecVreto, MA; Madec, L";Genetic relationships among suspected contact zone populations of Helix aspersa (Gastropoda: Pulmonata) in Algeria;HEREDITY;16;1996;77;;113;129;https://doi.org/10.1038/hdy.1996.116
"Walter, R; Buckley, H; Jacomb, C; Matisoo-Smith, E";Mass Migration and the Polynesian Settlement of New Zealand;JOURNAL OF WORLD PREHISTORY;15;2017;30;4;351;376;https://doi.org/10.1007/s10963-017-9110-y
"Kudo, Y; Kumon, F";Paleolithic cultures of MIS 3 to MIS 1 in relation to climate changes in the central Japanese islands;QUATERNARY INTERNATIONAL;18;2012;248;;22;31;https://doi.org/10.1016/j.quaint.2011.02.016
"Evariste, FF; Jean, SD; Victor, K; Claudia, M";Assessing climate change vulnerability and local adaptation strategies in adjacent communities of the Kribi-Campo coastal ecosystems, South Cameroon;URBAN CLIMATE;2;2018;24;;1037;1051;https://doi.org/10.1016/j.uclim.2017.12.007
"Cutter, SL; Mitchell, JT; Scott, MS";Revealing the vulnerability of people and places: A case study of Georgetown County, South Carolina;ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS;569;2000;90;4;713;737;https://doi.org/10.1111/0004-5608.00219
"Corona, E; Dudley, JT; Butte, AJ";Extreme Evolutionary Disparities Seen in Positive Selection across Seven Complex Diseases;PLOS ONE;39;2010;5;8;;;https://doi.org/10.1371/journal.pone.0012236
"Fan, JA; Sun, WC; Zhao, Y; Xue, BL; Zuo, DP; Xu, ZX";Trend Analyses of Extreme Precipitation Events in the Yarlung Zangbo River Basin, China Using a High-Resolution Precipitation Product;SUSTAINABILITY;5;2018;10;5;;;https://doi.org/10.3390/su10051396
"Kapustova, V; Panek, T; Hradecky, J; Zernitskaya, V; Hutchinson, SM; Mulkova, M; Sedlacek, J; Bajer, V";Peat bog and alluvial deposits reveal land degradation during 16th-and 17th-century colonisation of the Western Carpathians (Czech Republic);LAND DEGRADATION & DEVELOPMENT;4;2018;29;4;894;906;https://doi.org/10.1002/ldr.2909
"Ghilardi, M; Psomiadis, D; Andrieu-Ponel, V; Colleu, M; Sotiropoulos, P; Longo, F; Rossi, A; Amato, V; Gasse, F; Sinibaldi, L; Renard, M; Bicket, A; Delanghe, D; Demory, F; Fleury, J";First evidence of a lake at Ancient Phaistos (Messara Plain, South-Central Crete, Greece): Reconstructing paleoenvironments and differentiating the roles of human land-use and paleoclimate from Minoan to Roman times;HOLOCENE;3;2018;28;8;1225;1244;https://doi.org/10.1177/0959683618771473
"Lopez-Saez, JA; Blanco-Gonzalez, A; Lopez-Merino, L; Ruiz-Zapata, MB; Dorado-Valino, M; Perez-Diaz, S; Valdeolmillos, A; Burjachs, F";Landscape and climatic changes during the end of the Late Prehistory in the Amble's Valley (Avila, central Spain), from 1200 to 400 cal BC;QUATERNARY INTERNATIONAL;28;2009;200;;90;101;https://doi.org/10.1016/j.quaint.2008.07.010
"Zhao, H; Chen, FH; Li, SH; Wintle, AG; Fan, YX; Xia, DS";A record of Holocene climate change in the Guanzhong Basin, China, based on optical dating of a loess-palaeosol sequence;HOLOCENE;34;2007;17;7;1015;1022;https://doi.org/10.1177/0959683607080530
"Wu, YF; Bake, B; Zhang, JS; Rasulov, H";Spatio-temporal patterns of drought in North Xinjiang, China, 1961-2012 based on meteorological drought index;JOURNAL OF ARID LAND;9;2015;7;4;527;543;https://doi.org/10.1007/s40333-015-0125-x
Garcea, EAA;Successes and failures of human dispersals from North Africa;QUATERNARY INTERNATIONAL;41;2012;270;;119;128;https://doi.org/10.1016/j.quaint.2011.06.034
"Singh, NP; Byjesh, K; Bantilan, C; Rao, VUM; Venkateswarulu, B; Niranjan, F; Jayatilaka, W; Deb, UK; Ha, PQ; Suddhiyam, P";Changing Climate - Responding to the Inevitable;CLIMATE CHANGE CHALLENGES AND ADAPTATIONS AT FARM-LEVEL: CASE STUDIES FROM ASIA AND AFRICA;2;2015;9;;58;85;https://doi.org/
"Pirani, M; Panton, A; Purdie, DA; Sahu, SK";Modelling macronutrient dynamics in the Hampshire Avon river: A Bayesian approach to estimate seasonal variability and total flux;SCIENCE OF THE TOTAL ENVIRONMENT;2;2016;572;;1449;1460;https://doi.org/10.1016/j.scitotenv.2016.04.129
"Butler, VL; Campbell, SK; Bovy, KM; Etnier, MA";Exploring ecodynamics of coastal foragers using integrated faunal records from Cix(w)ic(sic)n village (Strait of Juan de Fuca, Washington, U.S.A.);JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS;1;2019;23;;1143;1167;https://doi.org/10.1016/j.jasrep.2018.09.031
"Sousa, R; Nogueira, JG; Lopes-Lima, M; Varandas, S; Teixeira, A";Water mill canals as habitat for Margaritifera margaritifera: Stable refuge or an ecological trap?;ECOLOGICAL INDICATORS;1;2019;106;;;;https://doi.org/10.1016/j.ecolind.2019.105469
"Clark, N; Chhotray, V; Few, R";Global justice and disasters;GEOGRAPHICAL JOURNAL;6;2013;179;2;105;113;https://doi.org/10.1111/geoj.12005
"Kern, EMA; Langerhans, RB";Urbanization Alters Swimming Performance of a Stream Fish;FRONTIERS IN ECOLOGY AND EVOLUTION;0;2019;6;;;;https://doi.org/10.3389/fevo.2018.00229
"Bartha, S; Meiners, SJ; Pickett, STA; Cadenasso, ML";Plant colonization windows in a mesic old field succession;APPLIED VEGETATION SCIENCE;70;2003;6;2;205;212;"https://doi.org/10.1658/1402-2001(2003)006[0205:PCWIAM]2.0.CO;2"
"Stinchcomb, GE; Messner, TC; Williamson, FC; Driese, SG; Nordt, LC";Climatic and human controls on Holocene floodplain vegetation changes in eastern Pennsylvania based on the isotopic composition of soil organic matter;QUATERNARY RESEARCH;11;2013;79;3;377;390;https://doi.org/10.1016/j.yqres.2013.02.004
"Lu, DW; Liu, Q; Yu, M; Yang, XZ; Fu, Q; Zhang, XS; Mu, YJ; Jiang, GB";Natural Silicon Isotopic Signatures Reveal the Sources of Airborne Fine Particulate Matter;ENVIRONMENTAL SCIENCE & TECHNOLOGY;7;2018;52;3;1088;1095;https://doi.org/10.1021/acs.est.7b06317
"Yang, LL; Liu, GR; Zheng, MH; Jin, R; Zhu, QQ; Zhao, YY; Wu, XL; Xu, Y";Highly Elevated Levels and Particle-Size Distributions of Environmentally Persistent Free Radicals in Haze-Associated Atmosphere;ENVIRONMENTAL SCIENCE & TECHNOLOGY;24;2017;51;14;7936;7944;https://doi.org/10.1021/acs.est.7b01929
"Bowman, DMJS; Moreira-Munoz, A; Kolden, CA; Chavez, RO; Munoz, AA; Salinas, F; Gonzalez-Reyes, A; Rocco, R; de la Barrera, F; Williamson, GJ; Borchers, N; Cifuentes, LA; Abatzoglou, JT; Johnston, FH";Human-environmental drivers and impacts of the globally extreme 2017 Chilean fires;AMBIO;8;2019;48;4;350;362;https://doi.org/10.1007/s13280-018-1084-1
"Schallegger, G; Muri-Klinger, S; Brugger, K; Lindhardt, C; John, L; Glatzl, M; Wagner, M; Stessl, B";Combined Campylobacter jejuni and Campylobacter coli Rapid Testing and Molecular Epidemiology in Conventional Broiler Flocks;ZOONOSES AND PUBLIC HEALTH;1;2016;63;8;588;599;https://doi.org/10.1111/zph.12267
"Medina, I; Newton, E; Kearney, MR; Mulder, RA; Porter, WP; Stuart-Fox, D";Reflection of near-infrared light confers thermal protection in birds;NATURE COMMUNICATIONS;4;2018;9;;;;https://doi.org/10.1038/s41467-018-05898-8
"Bernabeu, J; Casanova, I";Geant4-based radiation hazard assessment for human exploration missions;ADVANCES IN SPACE RESEARCH;12;2007;40;9;1368;1380;https://doi.org/10.1016/j.asr.2007.03.029
"Chou, WC; Wu, JL; Wang, YC; Huang, H; Sung, FC; Chuang, CY";Modeling the impact of climate variability on diarrhea-associated diseases in Taiwan (1996-2007);SCIENCE OF THE TOTAL ENVIRONMENT;68;2010;409;1;43;51;https://doi.org/10.1016/j.scitotenv.2010.09.001
"Ohlberger, J; Buehrens, TW; Brenkman, SJ; Crain, P; Quinn, TP; Hilborn, R";Effects of past and projected river discharge variability on freshwater production in an anadromous fish;FRESHWATER BIOLOGY;3;2018;63;4;331;340;https://doi.org/10.1111/fwb.13070
"Gompper, ME; Stacey, PB; Berger, J";Conservation implications of the natural loss of lineages in wild mammals and birds;CONSERVATION BIOLOGY;12;1997;11;4;857;867;https://doi.org/10.1046/j.1523-1739.1997.96169.x
"Ma, CC; Yang, J; Nakayama, SF; Honda, Y";The association between temperature variability and cause-specific mortality: Evidence from 47 Japanese prefectures during 1972-2015;ENVIRONMENT INTERNATIONAL;2;2019;127;;125;133;https://doi.org/10.1016/j.envint.2019.03.025
"Mora, C; Dousset, B; Caldwell, IR; Powell, FE; Geronimo, RC; Bielecki, CR; Counsell, CW; Dietrich, BS; Johnston, ET; Louis, LV; Lucas, MP; McKenzie, MM; Shea, AG; Tseng, H; Giambelluca, T; Leon, LR; Hawkins, E; Trauernicht, C";Global risk of deadly heat;NATURE CLIMATE CHANGE;155;2017;7;7;501;+;https://doi.org/10.1038/NCLIMATE3322
Zanuttigh, B;Coastal flood protection: What perspective in a changing climate? The THESEUS approach;ENVIRONMENTAL SCIENCE & POLICY;30;2011;14;7;845;863;https://doi.org/10.1016/j.envsci.2011.03.015
"Chen, YW; Aitchison, JC; Zong, YQ; Li, SH";OSL dating of past lake levels for a large dammed lake in southern Tibet and determination of possible controls on lake evolution;EARTH SURFACE PROCESSES AND LANDFORMS;4;2016;41;11;1467;1476;https://doi.org/10.1002/esp.3907
"Toyoda, K; Shinozuka, Y";Validation of arsenic as a proxy for lake-level change during the past 40,000 years in Lake Biwa, Japan;QUATERNARY INTERNATIONAL;6;2004;123;;51;61;https://doi.org/10.1016/j.quaint.2004.02.008
"Brandolini, P; Cappadonia, C; Luberti, GM; Donadio, C; Stamatopoulos, L; Di Maggio, C; Faccini, F; Stanislao, C; Vergari, F; Paliaga, G; Agnesi, V; Alevizos, G; Del Monte, M";Geomorphology of the Anthropocene in Mediterranean urban areas;PROGRESS IN PHYSICAL GEOGRAPHY-EARTH AND ENVIRONMENT;0;;;;;;https://doi.org/10.1177/0309133319881108
"Deng, XJ; Tie, XX; Wu, D; Zhou, XJ; Bi, XY; Tan, HB; Li, F; Hang, CL";Long-term trend of visibility and its characterizations in the Pearl River Delta (PRD) region, China;ATMOSPHERIC ENVIRONMENT;199;2008;42;7;1424;1435;https://doi.org/10.1016/j.atmosenv.2007.11.025
"Dodson, J; Li, JY; Lu, FY; Zhang, WC; Yan, H; Cao, S";A Late Pleistocene and Holocene vegetation and environmental record from Shuangchi Maar, Hainan Province, South China;PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY;0;2019;523;;89;96;https://doi.org/10.1016/j.palaeo.2019.03.026
"Riddiford, NG; Branch, NP; Jusseret, S; Olivier, L; Green, CP";Investigating the human-environment relationship of early intensive salt production: A case study from the Upper Seille Valley, Lorraine, northeast France;JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS;2;2016;10;;390;402;https://doi.org/10.1016/j.jasrep.2016.10.018
"Death, RG; Fuller, IC; Macklin, MG";Resetting the river template: the potential for climate-related extreme floods to transform river geomorphology and ecology;FRESHWATER BIOLOGY;24;2015;60;12;2477;2496;https://doi.org/10.1111/fwb.12639
"Nichol, SL; Chague-Goff, C; Goff, JR; Horrocks, M; McFadgen, BG; Strotz, LC";Geomorphology and accommodation space as limiting factors on tsunami deposition: Chatham Island, southwest Pacific Ocean;SEDIMENTARY GEOLOGY;24;2010;229;02. Jan;41;52;https://doi.org/10.1016/j.sedgeo.2010.06.001
"Allen, SK; Zhang, GQ; Wang, WC; Yao, TD; Bolch, T";Potentially dangerous glacial lakes across the Tibetan Plateau revealed using a large-scale automated assessment approach;SCIENCE BULLETIN;4;2019;64;7;435;445;https://doi.org/10.1016/j.scib.2019.03.011
"Taylor, L; Hochuli, DF";Creating better cities: how biodiversity and ecosystem functioning enhance urban residents' wellbeing;URBAN ECOSYSTEMS;25;2015;18;3;747;762;https://doi.org/10.1007/s11252-014-0427-3
"Poma, HR; Kundu, A; Wuertz, S; Rajal, VB";Data fitting approach more critical than exposure scenarios and treatment of censored data for quantitative microbial risk assessment;WATER RESEARCH;0;2019;154;;45;53;https://doi.org/10.1016/j.watres.2019.01.041
"Serrano, E; Gomez-Lende, M; Gonzalez-Amuchastegui, MJ; Gonzalez-Garcia, M; Gonzalez-Trueba, JJ; Pellitero, R; Rico, I";Glacial chronology, environmental changes and implications for human occupation during the upper Pleistocene in the eastern Cantabrian Mountains;QUATERNARY INTERNATIONAL;20;2015;364;;22;34;https://doi.org/10.1016/j.quaint.2014.09.039
"Limaye, VS; Vargo, J; Harkey, M; Holloway, T; Patz, JA";Climate Change and Heat-Related Excess Mortality in the Eastern USA;ECOHEALTH;3;2018;15;3;485;496;https://doi.org/10.1007/s10393-018-1363-0
Agustsdottir, AM;Ecosystem approach for natural hazard mitigation of volcanic tephra in Iceland: building resilience and sustainability;NATURAL HAZARDS;9;2015;78;3;1669;1691;https://doi.org/10.1007/s11069-015-1795-6
"Byun, K; Chiu, CM; Hamlet, AF";Effects of 21st century climate change on seasonal flow regimes and hydrologic extremes over the Midwest and Great Lakes region of the US;SCIENCE OF THE TOTAL ENVIRONMENT;8;2019;650;;1261;1277;https://doi.org/10.1016/j.scitotenv.2018.09.063
"Pinho, PF; Marengo, JA; Smith, MS";Complex socio-ecological dynamics driven by extreme events in the Amazon;REGIONAL ENVIRONMENTAL CHANGE;17;2015;15;4;643;655;https://doi.org/10.1007/s10113-014-0659-z
"Blanton, DB; Chenoweth, M; Mock, CJ";The Great Flood of 1771: An Explanation of Natural Causes and Social Effects;HISTORICAL CLIMATE VARIABILITY AND IMPACTS IN NORTH AMERICA;0;2009;;;3;21;https://doi.org/10.1007/978-90-481-2828-0_1
"Chai, Y; Li, YT; Yang, YP; Zhu, BY; Li, SX; Xu, C; Liu, CC";Influence of Climate Variability and Reservoir Operation on Streamflow in the Yangtze River;SCIENTIFIC REPORTS;1;2019;9;;;;https://doi.org/10.1038/s41598-019-41583-6
"Vott, A; Hadler, H; Koster, B; Matthes-Schmidt, M; Robke, BR; Willershauser, T; Reicherter, K";Returning to the facts: Response to the refusal of tsunami traces in the ancient harbour of Lechaion (Gulf of Corinth, Greece) by 'non-catastrophists' - Reaffirmed evidence of harbour destruction by historical earthquakes and tsunamis in AD 69-79 and the 6(th) cent. AD and a preceding pre-historical event in the early 8(th) cent. BC;ZEITSCHRIFT FUR GEOMORPHOLOGIE;4;2018;61;4;275;302;https://doi.org/10.1127/zfg/2018/0519
Daby, D;Effects of seagrass bed removal for tourism purposes in a Mauritian bay;ENVIRONMENTAL POLLUTION;26;2003;125;3;313;324;https://doi.org/10.1016/S0269-7491(03)00125-8
"Smyth, CG; Royle, SA";Urban landslide hazards: incidence and causative factors in Niteroi, Rio de Janeiro State, Brazil;APPLIED GEOGRAPHY;30;2000;20;2;95;117;https://doi.org/10.1016/S0143-6228(00)00004-7
"Croke, J; Reinfelds, I; Thompson, C; Roper, E";Macrochannels and their significance for flood-risk minimisation: examples from southeast Queensland and New South Wales, Australia;STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT;15;2014;28;1;99;112;https://doi.org/10.1007/s00477-013-0722-1
"Wagner, S; Litt, T; Sanchez-Goni, MF; Petit, RJ";History of Larix decidua Mill. (European larch) since 130 ka;QUATERNARY SCIENCE REVIEWS;16;2015;124;;224;247;https://doi.org/10.1016/j.quascirev.2015.07.002
"Turco, M; Jerez, S; Augusto, S; Tarin-Carrasco, P; Ratola, N; Jimenez-Guerrero, P; Trigo, RM";Climate drivers of the 2017 devastating fires in Portugal;SCIENTIFIC REPORTS;0;2019;9;;;;https://doi.org/10.1038/s41598-019-50281-2
Diaz, HP;A Conceptual Framework for Understanding Vulnerabilities to Extreme Climate Events;CLIMATE CHANGE ADAPTATION, RESILIENCE AND HAZARDS;0;2016;;;143;156;https://doi.org/10.1007/978-3-319-39880-8_9
"Bush, KF; Fossani, CL; Li, S; Mukherjee, B; Gronlund, CJ; O'Neill, MS";Extreme Precipitation and Beach Closures in the Great Lakes Region: Evaluating Risk among the Elderly;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;4;2014;11;2;2014;2032;https://doi.org/10.3390/ijerph110202014
"Evju, M; Hagen, D; Hofgaard, A";Effects of disturbance on plant regrowth along snow pack gradients in alpine habitats;PLANT ECOLOGY;9;2012;213;8;1345;1355;https://doi.org/10.1007/s11258-012-0094-5
"St Clair, SB; Bishop, TBB";Loss of biotic resistance and high propagule pressure promote invasive grass-fire cycles;JOURNAL OF ECOLOGY;2;2019;107;4;1995;2005;https://doi.org/10.1111/1365-2745.13156
"Drake, BL; Wills, WH; Erhardt, EB";The 5.1 ka aridization event, expansion of pinon-juniper woodlands, and the introduction of maize (Zea mays) in the American Southwest;HOLOCENE;3;2012;22;12;1353;1360;https://doi.org/10.1177/0959683612449758
"Chidambaram, S; Thivya, C; Ramanathan, AL; Thilagavathi, R; Prasanna, MV";Characterization of Coastal Aquifers in SE Coast of India;GROUNDWATER OF SOUTH ASIA;0;2018;;;475;495;https://doi.org/10.1007/978-981-10-3889-1_29
"Besley, T; Dixit, A";Environmental catastrophes and mitigation policies in a multiregion world;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;1;2019;116;12;5270;5276;https://doi.org/10.1073/pnas.1802864115
"Zhang, JX; Wang, XY; Yang, RX; Li, XZ; Zhang, W";Multicultural responses to environmental changes of the Holocene in the Nihewan-Huliu Basin of North China;QUATERNARY INTERNATIONAL;1;2019;507;;53;61;https://doi.org/10.1016/j.quaint.2019.01.035
"Marulanda, MC; Cardona, OD; Barbat, AH";Revealing the socioeconomic impact of small disasters in Colombia using the DesInventar database;DISASTERS;30;2010;34;2;552;570;https://doi.org/10.1111/j.1467-7717.2009.01143.x
"Wang, CH; Wang, ZH; Yang, JC";Urban water capacity: Irrigation for heat mitigation;COMPUTERS ENVIRONMENT AND URBAN SYSTEMS;0;2019;78;;;;https://doi.org/10.1016/j.compenvurbsys.2019.101397
"Altieri, AH; Harrison, SB; Seemann, J; Collin, R; Diaz, RJ; Knowlton, N";Tropical dead zones and mass mortalities on coral reefs;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;33;2017;114;14;3660;3665;https://doi.org/10.1073/pnas.1621517114
"Morefield, PE; Fann, N; Grambsch, A; Raich, W; Weaver, CP";Heat-Related Health Impacts under Scenarios of Climate and Population Change;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;3;2018;15;11;;;https://doi.org/10.3390/ijerph15112438
Mjema, E;Catastrophes and deaths along Tanzania's Western Indian Ocean coast during the Early Swahili period, AD 900-1100;AZANIA-ARCHAEOLOGICAL RESEARCH IN AFRICA;0;2018;53;2;135;155;https://doi.org/10.1080/0067270X.2018.1473208
"Petterson, JS; Stanley, LD; Glazier, E; Philipp, J";A preliminary assessment of social and economic impacts associated with hurricane katrina;AMERICAN ANTHROPOLOGIST;30;2006;108;4;643;670;https://doi.org/10.1525/aa.2006.108.4.643
"Mustonen, T; Kontkanen, H";Safe places: Increasing Finnish waterfowl resilience through human-made wetlands;POLAR SCIENCE;0;2019;21;;75;84;https://doi.org/10.1016/j.polar.2019.05.007
"Kysely, J; Kim, J";Mortality during heat waves in South Korea, 1991 to 2005: How exceptional was the 1994 heat wave?;CLIMATE RESEARCH;59;2009;38;2;105;116;https://doi.org/10.3354/cr00775
"Lemmen, C; Wirtz, KW";On the sensitivity of the simulated European Neolithic transition to climate extremes;JOURNAL OF ARCHAEOLOGICAL SCIENCE;16;2014;51;;65;72;https://doi.org/10.1016/j.jas.2012.10.023
Elewa, AKA;Flexible Public Spaces through Spatial Urban Interventions, Towards Resilient Cities;EUROPEAN JOURNAL OF SUSTAINABLE DEVELOPMENT;0;2019;8;4;152;168;https://doi.org/10.14207/ejsd.2019.v8n4p152
"Miebach, A; Niestrath, P; Roeser, P; Litt, T";Impacts of climate and humans on the vegetation in northwestern Turkey: palynological insights from Lake Iznik since the Last Glacial;CLIMATE OF THE PAST;19;2016;12;2;575;593;https://doi.org/10.5194/cp-12-575-2016
"Head, L; Adams, M; McGregor, HV; Toole, S";Climate change and Australia;WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE;39;2014;5;2;175;197;https://doi.org/10.1002/wcc.255
"Zhao, QY; Thomsen, KJ; Murray, AS; Wei, MJ; Song, B";Single-grain quartz OSL dating of debris flow deposits from Men Tou Gou, south west Beijing, China;QUATERNARY GEOCHRONOLOGY;2;2017;41;;62;69;https://doi.org/10.1016/j.quageo.2017.06.001
"Balbo, AL; Puy, A; Frigola, J; Retamero, F; Cacho, I; Kirchner, H";Amplified environmental change: Evidence from land-use and climate change in medieval Minorca;LAND DEGRADATION & DEVELOPMENT;1;2018;29;4;1262;1269;https://doi.org/10.1002/ldr.2869
"Harrington, LJ; Lewis, S; Perkins-Kirkpatrick, SE; King, AD; Otto, FEL";Embracing the complexity of extreme weather events when quantifying their likelihood of recurrence in a warming world;ENVIRONMENTAL RESEARCH LETTERS;0;2019;14;2;;;https://doi.org/10.1088/1748-9326/aaf2dc
Singh, BK;Climate change and human health: an environmental perspective;CLIMATE RESEARCH;2;2010;41;1;41;44;https://doi.org/10.3354/cr00839
"Moreno, A; Valero-Garces, BL; Gonzalez-Samperiz, P; Rico, M";Flood response to rainfall variability during the last 2000 years inferred from the Taravilla Lake record (Central Iberian Range, Spain);JOURNAL OF PALEOLIMNOLOGY;97;2008;40;3;943;961;https://doi.org/10.1007/s10933-008-9209-3
"Shrestha, F; Uddin, K; Maharjan, SB; Bajracharya, SR";Application of remote sensing and GIS in environmental monitoring in the Hindu Kush Himalayan region;AIMS ENVIRONMENTAL SCIENCE;1;2016;3;4;646;662;https://doi.org/10.3934/environsci.2016.4.646
"Butzer, KW; Butzer, EK";The 'natural' vegetation of the Mexican Bajio: Archival documentation of a 16th-century savanna environment;QUATERNARY INTERNATIONAL;43;1997;;;161;172;https://doi.org/10.1016/S1040-6182(97)00032-3
"Xoplaki, E; Maheras, P; Luterbacher, J";Variability of climate in Meridional Balkans during the periods 1675-1715 and 1780-1830 and its impact on human life;CLIMATIC CHANGE;83;2001;48;4;581;615;https://doi.org/10.1023/A:1005616424463
van der Made, J;Late Pleistocene European and Late Miocene African accelerations of faunal change in relation to the climate and as a background to human evolution;QUATERNARY INTERNATIONAL;5;2014;326;;431;447;https://doi.org/10.1016/j.quaint.2013.12.003
"Coleman, JM; Roberts, HH; Stone, GW";Mississippi River delta: an overview;JOURNAL OF COASTAL RESEARCH;186;1998;14;3;698;716;https://doi.org/
